<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.05.17	109.004	109.649	108.837	109.122	128417	182660612000	9
2016.05.18	109.102	110.252	108.718	110.190	149119	193617399000	9
2016.05.19	110.175	110.380	109.694	109.947	135435	160172508000	9
2016.05.20	109.948	110.584	109.846	110.102	109215	142778678000	9
2016.05.23	110.103	110.238	109.106	109.220	118655	150810114000	9
2016.05.24	109.230	110.127	109.166	109.980	114094	151926257000	9
2016.05.25	109.981	110.443	109.860	110.196	114760	152158107000	9
2016.05.26	110.136	110.226	109.414	109.762	124642	156255174000	9
2016.05.27	109.752	110.443	109.469	110.242	112419	140585490000	9
2016.05.30	110.419	111.445	110.310	111.120	94729	103007401000	9
2016.05.31	111.111	111.345	110.497	110.707	132484	196307129000	9
2016.06.01	110.707	110.827	109.047	109.531	156131	199194062000	9
2016.06.02	109.523	109.580	108.520	108.866	154631	222909391000	9
2016.06.03	108.855	109.132	106.505	106.532	177815	252309073000	9
2016.06.06	106.543	107.651	106.363	107.546	163472	215363840000	9
2016.06.07	107.528	107.898	107.150	107.334	143190	213571524000	9
2016.06.08	107.350	107.383	106.587	106.982	142007	205593829000	9
2016.06.09	106.977	107.172	106.249	107.075	146968	211662935000	9
2016.06.10	107.073	107.258	106.550	106.912	148771	200211936000	9
2016.06.13	106.793	106.852	105.733	106.242	183543	243001749000	9
2016.06.14	106.208	106.417	105.623	106.095	188138	252271276000	9
2016.06.15	106.095	106.392	105.436	105.999	165851	215129455000	9
2016.06.16	105.990	106.023	103.547	104.244	220743	314422925000	9
2016.06.17	104.237	104.824	104.042	104.042	174518	225700332000	9
2016.06.20	104.099	104.839	103.783	103.919	157320	224680669000	9
2016.06.21	103.888	105.053	103.575	104.748	154531	217663492000	9
2016.06.22	104.726	104.847	104.311	104.376	142471	211573069000	9
2016.06.23	104.378	106.149	104.021	106.120	162303	207457524000	9
2016.06.24	106.123	106.805	98.935	102.195	238567	315044758000	9
2016.06.27	101.495	102.467	101.395	101.991	219724	217208705000	9
2016.06.28	101.951	102.836	101.553	102.735	174213	242813154000	9
2016.06.29	102.723	102.931	102.167	102.819	155026	208295943000	9
2016.06.30	102.764	103.289	102.351	103.176	173866	258024170000	9
2016.07.01	103.190	103.391	102.438	102.529	144658	194274253000	9
2016.07.04	102.617	102.801	102.415	102.521	105189	123651902000	9
2016.07.05	102.512	102.585	101.446	101.737	144066	202820204000	9
2016.07.06	101.685	101.761	100.194	101.295	185099	253846741000	9
2016.07.07	101.295	101.395	100.593	100.745	148657	205361756000	9
2016.07.08	100.772	101.273	99.988	100.401	142025	196493004000	9
2016.07.11	100.602	102.890	100.511	102.781	137736	184780085000	9
2016.07.12	102.768	104.980	102.445	104.659	192866	273946218000	9
2016.07.13	104.660	104.873	103.906	104.492	189606	251425227000	9
2016.07.14	104.437	105.932	103.973	105.332	201549	281351431000	9
2016.07.15	105.337	106.311	104.624	104.808	193305	319246922000	9
2016.07.18	105.336	106.260	105.268	106.145	135846	226576456000	9
2016.07.19	106.141	106.528	105.642	106.097	147027	229240220000	9
2016.07.20	106.118	107.016	105.825	106.871	134822	225819878000	9
2016.07.21	106.868	107.488	105.419	105.805	185929	307593166000	9
2016.07.22	105.798	106.396	105.562	106.025	151631	211168679000	9
2016.07.25	106.106	106.719	105.736	105.801	127452	175529185000	9
2016.07.26	105.786	105.886	103.988	104.621	153220	209765457000	9
2016.07.27	104.613	106.535	104.555	105.385	169641	216488087000	9
2016.07.28	105.386	105.499	104.479	105.253	143662	177903923000	9
2016.07.29	105.233	105.645	101.968	102.040	213545	254114257000	9
